Nama Objek,Kunjungan 2021,Kunjungan 2022,Kunjungan 2023,Kunjungan 2024,Kunjungan 2025,Rating,Review Count,Akses Mudah
Sarangan,549522,919374,1082696,1080666,1088845,4.6,7747,1
Mojosemi Forest Park,164770,255567,166567,112420,63152,4.4,6666,1
Taman Bunga Refugia,29265,71524,70090,48608,43686,4.6,1449,1
Magetan Park,11330,47137,49734,40993,49663,4.4,1264,1
Kolam Renang Banyu Biru,7359,57247,65195,54234,46190,4.2,1610,1
Taman Wisata Desa Jabung,18743,30142,37187,31071,25717,4.2,703,0
Taman Wisata Genilangit,28973,97187,35305,27803,26550,4.6,73,0
Air Terjun Tirtosari,14757,0,34374,20401,0,4.6,262,0
Kampung susu Singolangu,13355,24868,23626,28495,31431,4.7,307,0
Mbah Djoe Resort,42991,40656,20338,3088,0,4.5,7102,1
Magetan Green Garden,9523,21142,12955,13308,11499,4.1,460,0
Wana wisata Alas Tuwo,6337,4575,8135,19808,143,4.8,12,0
Telaga Wahyu,5026,7349,5007,6619,5631,4.3,135,1
Wisata Pendakian Gunung Lawu Jalur Cemoro Sewu,10448,3305,13747,47389,213,4.7,53,0
Lawu Green Forest,19915,7277,29374,25759,8178,4.4,1485,1
Kolam Renang Sendang Bening,23997,1727,34262,28515,0,3.9,447,0
Hargo Dalem,0,0,6181,35086,51613,4.7,40,0
Taman Tirto Gumarang,2804,3562,3799,0,202,4.6,298,1
Parang Hill,5203,22134,15006,8747,3657,4.0,307,0
Randugede Hidden Paradise/ Wisata Bukit Serimpi,10815,2333,1810,50118,95993,4.3,442,1
Kolam Renang Sumber Barokah,0,0,7605,7634,7720,4.1,332,1
Taman Soheden,0,0,14454,7608,4163,4.2,31,1
Wisata Bumi Langit Petungrejo,0,0,17976,20348,250,4.6,63,1
Monumen Soco,519,519,2207,1089,745,4.4,309,0
Makam Ronggogalih,2569,2569,3294,3246,2343,5,3,0
Sendang Kamal,0,0,1881,1573,2361,4.6,292,1
Makam Kertonegoro,82,82,187,128,135,4.8,5,0
Makam Ki Nantang Yudho,119,119,774,605,676,3.5,2,1
Monumen Kesaktian Pancasila/ Pabrik Gula Rejosari,305,305,1090,900,684,5,1,1
Desa Wisata Sidomukti,2842,3859,3424,1906,1384,5,7,0
Makam Maduretno,0,6309,1625,1597,2334,4.4,21,0
Makam Ki Hajar Wonokoso,0,0,646,902,1075,5,1,0
Makam Ki Mageti,0,0,70,84,58,4.6,5,1
Makam Yosonegoro,202,202,570,548,533,5,1,1
Makam Nrang Kusumo,79,79,154,150,151,5,1,1
Alun Alun Magetan,0,0,219024,320916,301508,4.5,12278,1
Jalan Sawo / Pengrajin Kulit Magetan,0,0,153600,187200,180800,4.5,771,1
Wisata Kuliner Jalan Tembus,594000,0,475200,531900,521100,4.4,28,0
Taman Ria Iswahjudi (TAMRIS),0,0,0,0,134596,4.3,965,1
Masjid Kuno Tamanarum,0,0,0,0,5237,4.7,41,1
Petirtaan Dewi Sri,0,0,0,0,1059,5,1,0
Sendang Bening,0,0,0,0,418,3.9,447,0